model,run_id,valid,n_terms,message,raw_output
B,11,True,10,ok (10 terms),Eg = a0 + a1*Sn + a2*Br + a3*Cl + a4*Cs + a5*Sn^2 + a6*Br^2 + a7*Cl^2 + a8*Cs*Sn + a9*Cs*Br + a10*Sn*Br
B,12,True,8,ok (8 terms),Eg = a0 + a1*Sn + a2*Br + a3*Cl + a4*Cs + a5*Sn^2 + a6*Cs*Sn + a7*Cs*Br + a8*Cs*Cl
B,13,True,9,ok (9 terms),Eg = a0 + a1*Sn + a2*Br + a3*Cl + a4*Cs + a5*Sn^2 + a6*Br^2 + a7*Cl^2 + a8*Cs*Sn + a9*Cs*Br
B,14,True,10,ok (10 terms),Eg = a0 + a1*Sn + a2*Br + a3*Cl + a4*Cs + a5*Sn^2 + a6*Br^2 + a7*Cs*Sn + a8*Cs*Br + a9*Cs*Cl + a10*Sn*Br
B,15,True,10,ok (10 terms),Eg = a0 + a1*Sn + a2*Br + a3*Cl + a4*Cs + a5*Sn^2 + a6*Br^2 + a7*Cl^2 + a8*Cs*Sn + a9*Sn*Br + a10*Br*Cl
B,16,False,0,Too many: 12>11,Eg = a0 + a1*Sn + a2*Br + a3*Cl + a4*Cs + a5*Sn^2 + a6*Br^2 + a7*Cl^2 + a8*Cs^2 + a9*Cs*Sn + a10*Cs*Br + a11*Cs*Cl + a12*Sn*Br
B,17,False,0,Too few: 6<8,Eg = a0 + a1*Sn + a2*Br + a3*Sn^2 + a4*Br^2 + a5*Cs*Sn + a6*Cs*Br
B,18,False,0,Illegal: ['log(Sn)']; Too few: 7<8,Eg = a0 + a1*Sn + a2*Br + a3*Cl + a4*Cs + a5*log(Sn) + a6*Br^2 + a7*Cs*Sn + a8*Cs*Br
B,19,False,0,Illegal: ['Sn*Sn'],Eg = a0 + a1*Sn + a2*Br + a3*Cl + a4*Cs + a5*Sn^2 + a6*Br^2 + a7*Cs*Sn + a8*Sn*Br + a9*Br*Cl + a10*Sn*Sn
B,20,False,0,Too many: 12>11,Eg = a0 + a1*Sn + a2*Br + a3*Cl + a4*Cs + a5*Sn^2 + a6*Br^2 + a7*Cl^2 + a8*Cs*Sn + a9*Cs*Br + a10*Cs*Cl + a11*Sn*Br + a12*Br*Cl
